Date	Last Price
4/25/17	0.736
4/24/17	0.7407
4/21/17	0.7408
4/20/17	0.7424
4/19/17	0.7416
4/18/17	0.7473
4/17/17	0.751
4/14/17	0.7504
4/13/17	0.7503
4/12/17	0.7546
4/11/17	0.7505
4/10/17	0.7504
4/7/17	0.746
4/6/17	0.7455
4/5/17	0.7443
4/4/17	0.7462
4/3/17	0.7473
3/31/17	0.7509
3/30/17	0.7495
3/29/17	0.7504
3/28/17	0.7472
3/27/17	0.7476
3/24/17	0.7475
3/23/17	0.749
3/22/17	0.7503
3/21/17	0.749
3/20/17	0.7489
3/17/17	0.7489
3/16/17	0.7508
3/15/17	0.7516
3/14/17	0.7419
3/13/17	0.7437
3/10/17	0.7424
3/9/17	0.7401
3/8/17	0.7412
3/7/17	0.7456
3/6/17	0.7456
3/3/17	0.7476
3/2/17	0.7468
3/1/17	0.7504
2/28/17	0.7518
2/27/17	0.7587
2/24/17	0.7638
2/23/17	0.7631
2/22/17	0.7596
2/21/17	0.7609
2/20/17	0.763
2/17/17	0.7636
2/16/17	0.7651
2/15/17	0.7643
2/14/17	0.765
2/13/17	0.765
2/10/17	0.7643
2/9/17	0.7606
2/8/17	0.7608
2/7/17	0.7584
2/6/17	0.7643
2/3/17	0.7678
2/2/17	0.7677
2/1/17	0.7663
1/31/17	0.7674
1/30/17	0.7622
1/27/17	0.7603
1/26/17	0.7637
1/25/17	0.7651
1/24/17	0.76
1/23/17	0.7554
1/20/17	0.7508
