Date	Last Price
4/21/17	1483.19
4/20/17	1487.44
4/19/17	1467.61
4/18/17	1459.52
4/17/17	1457.54
4/13/17	1443.06
4/12/17	1449.16
4/11/17	1454.17
4/10/17	1452.63
4/7/17	1450.08
4/6/17	1448.17
4/5/17	1440.88
4/4/17	1441.79
4/3/17	1445.98
3/31/17	1430.28
3/30/17	1437.78
3/29/17	1425.25
3/28/17	1436.22
3/27/17	1424.04
3/24/17	1428.26
3/23/17	1437.11
3/22/17	1452.03
3/21/17	1455.11
3/20/17	1462.55
3/17/17	1476.5
3/16/17	1485.45
3/15/17	1492.34
3/14/17	1470.94
3/13/17	1481.23
3/10/17	1476.34
3/9/17	1468.91
3/8/17	1466.51
3/7/17	1466.95
3/6/17	1467.68
3/3/17	1464.54
3/2/17	1457.78
3/1/17	1464.91
2/28/17	1442.75
2/27/17	1443.68
2/24/17	1427.58
2/23/17	1425.95
2/22/17	1415.41
2/21/17	1411.94
2/17/17	1386.98
2/16/17	1429.4
2/15/17	1429.43
2/14/17	1421.38
2/13/17	1409.81
2/10/17	1401.1
2/9/17	1402.25
2/8/17	1392.63
2/7/17	1388.44
2/6/17	1383.77
2/3/17	1399.38
2/2/17	1388.9
2/1/17	1401.3
1/31/17	1384.11
1/30/17	1380.7
1/27/17	1388.27
1/26/17	1385.21
1/25/17	1386.52
1/24/17	1372.1
1/23/17	1370.83
1/20/17	1371.41
1/19/17	1370.81
1/18/17	1361.36
1/17/17	1375.12
1/13/17	1384.6
1/12/17	1386.78
1/11/17	1377.83
1/10/17	1373.13
1/9/17	1374.98
1/6/17	1378.24
1/5/17	1376.48
1/4/17	1367.53
1/3/17	1359.1
12/30/16	1355.84
12/29/16	1363.76
12/28/16	1368.33
12/27/16	1382.09
12/23/16	1382.46
12/22/16	1368.77
12/21/16	1364.51
12/20/16	1369.69
12/19/16	1366.26
12/16/16	1383.34
12/15/16	1361.97
12/14/16	1360.59
12/13/16	1369.42
12/12/16	1360.4
12/9/16	1367.51
12/8/16	1370.58
12/7/16	1365.35
12/6/16	1355.77
12/5/16	1359.48
12/2/16	1381.99
12/1/16	1388.74
11/30/16	1365.76
11/29/16	1369.98
11/28/16	1334.37
11/25/16	1343.93
11/23/16	1346.05
11/22/16	1335.01
11/21/16	1314.94
11/18/16	1306.79
11/17/16	1320.38
11/16/16	1314.78
11/15/16	1316.5
11/14/16	1313.24
11/11/16	1268.58
11/10/16	1273.14
11/9/16	1242.2
11/8/16	1233.14
