Date	Last Price
4/27/17	87.61
4/26/17	88.43
4/25/17	88.26
4/24/17	87.5
4/21/17	84.52
4/20/17	85.55
4/19/17	84.46
4/18/17	85.16
4/17/17	85.86
4/13/17	84.4
4/12/17	85.4
4/11/17	85.73
4/10/17	85.88
4/7/17	86.18
4/6/17	86.48
4/5/17	86.19
4/4/17	87.31
4/3/17	87.52
3/31/17	87.84
3/30/17	89.03
3/29/17	88.27
3/28/17	88.6
3/27/17	87.24
3/24/17	87.29
3/23/17	87.39
3/22/17	87.53
3/21/17	87.39
3/20/17	90.03
3/17/17	90.68
3/16/17	91.64
3/15/17	91.73
3/14/17	91.51
3/13/17	91.36
3/10/17	91.28
3/9/17	91.57
3/8/17	91.21
3/7/17	91.41
3/6/17	91.92
3/3/17	92.8
3/2/17	92.14
3/1/17	93.6
2/28/17	90.62
2/27/17	90.43
2/24/17	90.33
2/23/17	91.13
2/22/17	91.06
2/21/17	91.01
2/17/17	90.23
2/16/17	90.53
2/15/17	90.59
2/14/17	89.56
2/13/17	88.15
2/10/17	87
2/9/17	87.2
2/8/17	85.96
2/7/17	86.72
2/6/17	86.77
2/3/17	87.18
2/2/17	84.59
2/1/17	84.95
1/31/17	84.63
1/30/17	86.03
1/27/17	86.93
1/26/17	86.75
1/25/17	86.03
1/24/17	84.72
1/23/17	83.71
1/20/17	83.67
1/19/17	83.3
1/18/17	83.94
1/17/17	83.55
1/13/17	86.7
1/12/17	86.24
1/11/17	87.08
1/10/17	86.43
1/9/17	86.18
1/6/17	86.12
1/5/17	86.11
1/4/17	86.91
1/3/17	87.23
12/30/16	86.29
12/29/16	85.89
12/28/16	86.5
12/27/16	87.13
12/23/16	87.05
12/22/16	86.89
12/21/16	86.75
12/20/16	86.53
12/19/16	85.43
12/16/16	84.94
12/15/16	86
12/14/16	84.73
12/13/16	84.76
12/12/16	84.73
12/9/16	85.49
12/8/16	85.12
12/7/16	84.07
12/6/16	83.69
12/5/16	83.26
12/2/16	81.6
12/1/16	81.79
11/30/16	80.17
11/29/16	78.92
11/28/16	78.32
11/25/16	78.83
11/23/16	78.86
11/22/16	78.53
11/21/16	78.05
11/18/16	77.71
11/17/16	78.02
11/16/16	77.4
11/15/16	79.36
11/14/16	79.51
11/11/16	76.69
11/10/16	76.65
11/9/16	73.25
11/8/16	70.03
11/7/16	69.88
11/4/16	67.76
11/3/16	68.38
11/2/16	68.68
11/1/16	68.97
10/31/16	69.26
10/28/16	69.11
10/27/16	69.23
10/26/16	69.13
10/25/16	68.8
10/24/16	68.87
10/21/16	68.49
10/20/16	68.26
10/19/16	68.35
10/18/16	67.7
